midx,mom_tercile,max_tercile,ew_ret,n
23708,1,2,-0.061640612892609414,8
23708,1,3,-0.0645092269308519,10
23708,2,1,-0.05270037794803116,11
23708,2,2,-0.004313414793563516,11
23708,2,3,-0.06869857990603413,6
23708,3,1,-0.03676697743381728,7
23708,3,2,-0.021661844325576312,9
23708,3,3,-0.028131362634857937,11
23709,1,1,0.06832132731436205,8
23709,1,2,0.02526347391255505,11
23709,1,3,0.08386841699711015,9
23709,2,1,0.015028963109997316,10
23709,2,2,0.07984373056789251,9
23709,2,3,0.10565158333360686,9
23709,3,1,0.09661471789647931,10
23709,3,2,0.06725590812644237,8
23709,3,3,0.0666139260746287,9
23710,1,1,0.03717081785115253,11
23710,1,2,0.05749136289858185,8
23710,1,3,0.01917320358284659,9
23710,2,1,0.032811797027579574,15
23710,2,2,0.024180563828016637,7
23710,2,3,0.05057187338618622,6
23710,3,1,0.032322014613367145,2
23710,3,2,0.008407566876471715,13
23710,3,3,0.027641312377612,12
23711,1,1,-0.010453472186999647,6
23711,1,2,-0.00802789328789806,13
23711,1,3,-0.03964844761875203,9
23711,2,1,0.010670025411003975,11
23711,2,2,-0.029013278502067086,10
23711,2,3,-0.04000156603681981,7
23711,3,1,-0.012785676723377989,11
23711,3,2,0.003333405765988571,5
23711,3,3,-0.03692897372743816,11
23712,1,1,0.09573137278811017,10
23712,1,2,0.08072729841162692,9
23712,1,3,0.12753202864674135,9
23712,2,1,0.11482372289602347,10
23712,2,2,0.08530700514646614,11
23712,2,3,0.16543680526528406,7
23712,3,1,0.12130184658205115,8
23712,3,2,0.14585067726552228,8
23712,3,3,0.1849182653577581,11
23713,1,1,-0.041530884608788135,9
23713,1,2,-0.01506439434126089,8
23713,1,3,0.06434904183037782,11
23713,2,1,-0.012842141767102695,13
23713,2,2,0.00895621808214584,10
23713,2,3,0.0234042599558638,5
23713,3,1,-0.035673857742529215,6
23713,3,2,-0.007200953328615756,10
23713,3,3,-0.005302199959231856,12
23714,1,1,0.008559313843266537,9
23714,1,2,-0.03865172315069858,8
23714,1,3,0.037398842127228264,11
23714,2,1,0.01583881607756516,9
23714,2,2,0.05934015174031829,13
23714,2,3,0.0041793655834953345,6
23714,3,1,0.004729955214518878,10
23714,3,2,8.688363135298051e-4,7
23714,3,3,0.08215260507626342,11
23715,1,1,-0.0053396499117097295,10
23715,1,2,0.011612967256136435,8
23715,1,3,-0.04234702176424775,10
23715,2,1,-4.946053962188344e-4,12
23715,2,2,-0.00906230972013756,11
23715,2,3,0.011937215024897705,5
23715,3,1,-2.0395000514363253e-4,6
23715,3,2,-0.006416886178924677,9
23715,3,3,-0.0043705918255404486,13
23716,1,1,-0.03923948892898982,10
23716,1,2,0.016033572707740862,7
23716,1,3,-0.02036662588155968,11
23716,2,1,-0.012763466992424153,9
23716,2,2,-0.04216296945844207,11
23716,2,3,-0.016492795519828837,8
23716,3,1,-0.008110811775699674,9
23716,3,2,-0.03236395413032862,10
23716,3,3,-0.014073785449247077,9
23717,1,1,0.05346900981071387,8
23717,1,2,0.035028055703707865,10
23717,1,3,0.028433943134077037,10
23717,2,1,0.036604635199261173,11
23717,2,2,0.04566268127433088,11
23717,2,3,0.09571824187123763,6
23717,3,1,0.02205629193107117,9
23717,3,2,0.078568372635055,7
23717,3,3,0.06782629873747713,12
23718,1,1,0.011212581100677887,9
23718,1,2,0.041770126977720465,9
23718,1,3,-0.02116992348029344,10
23718,2,1,0.015461586623884957,8
23718,2,2,0.023638981129313515,11
23718,2,3,-0.022262897031679003,9
23718,3,1,0.02851062129295308,11
23718,3,2,-0.017063456391391216,8
23718,3,3,-0.0403681535981443,9
23719,1,1,0.019767657762733655,5
23719,1,2,-0.00999283872079922,12
23719,1,3,-0.00490763503204697,12
23719,2,1,0.020816110626891593,11
23719,2,2,-0.022076034049478763,8
23719,2,3,-0.04063115062046495,9
23719,3,1,-0.01244707811851751,13
23719,3,2,0.006294590294992311,8
23719,3,3,0.050180543371766494,7
23720,1,1,0.030603644363581494,7
23720,1,2,0.020165096006638166,10
23720,1,3,0.009771455758623326,12
23720,2,1,0.04494198361217352,10
23720,2,2,0.03461884209861806,12
23720,2,3,0.031426626950622226,6
23720,3,1,0.027061544022838203,12
23720,3,2,-0.008615025132581056,6
23720,3,3,0.05324910416351956,10
23721,1,1,-0.02318965311870875,7
23721,1,2,-0.01597336223164604,8
23721,1,3,-0.04965120668765209,14
23721,2,1,-0.013777100153206046,12
23721,2,2,-0.02315145190356,12
23721,2,3,-0.052242450669102936,4
23721,3,1,-0.032382180960022766,10
23721,3,2,-0.02754546178911732,8
23721,3,3,-0.03830865677436211,10
23722,1,1,0.018408140077339187,8
23722,1,2,-0.02503943875786068,10
23722,1,3,-0.051679925529710805,11
23722,2,1,-0.013986838252849017,11
23722,2,2,-0.009635792030510942,9
23722,2,3,-0.01735671859401148,8
23722,3,1,0.030102303063972567,10
23722,3,2,0.008161176499435275,9
23722,3,3,0.03179533315814301,9
23723,1,1,0.01564037006674504,8
23723,1,2,0.042870946069841286,10
