asset,date,n_bars,log_ret,R_last,R_tercile_lag1_last,frac_bars_top_tercile_R,trailing_realised_vol_last,vol_tercile_lag1_last,exposure_benchmark_mean,ret_net_benchmark,exposure_overlay_w0.00_mean,ret_net_overlay_w0.00,exposure_volsizing_w0.00_mean,ret_net_volsizing_w0.00
SOL,2023-07-21,24,0.0058997221271882404,5.438591008626537e-9,1,0,0.011699481150959135,2,1,0.0058997221271882404,1,0.0058997221271882404,1,0.0058997221271882404
SOL,2023-07-22,24,-0.0391893410963694,5.4441073452722195e-9,1,0,0.011639457398359565,2,1,-0.0391893410963694,1,-0.0391893410963694,1,-0.0391893410963694
SOL,2023-07-23,24,0.009336377946688987,5.484955342010537e-9,1,0,0.011558122901978192,2,1,0.009336377946688987,1,0.009336377946688987,1,0.009336377946688987
SOL,2023-07-24,24,-0.05737234046393254,5.6114490293361885e-9,1,0,0.011629982706020227,2,1,-0.05737234046393254,1,-0.05737234046393254,1,-0.05737234046393254
SOL,2023-07-25,24,-0.002570695503101083,5.566349239648314e-9,1,0,0.011595530930618362,2,1,-0.002570695503101083,1,-0.002570695503101083,1,-0.002570695503101083
SOL,2023-07-26,24,0.07716757556853553,5.5068798960750916e-9,1,0,0.011559566938813683,2,1,0.07716757556853553,1,0.07716757556853553,1,0.07716757556853553
SOL,2023-07-27,24,-0.003580668237869864,5.460859379277207e-9,1,0,0.011545087294086183,2,1,-0.003580668237869864,1,-0.003580668237869864,1,-0.003580668237869864
SOL,2023-07-28,24,-0.010416760858255443,5.426366811391145e-9,1,0,0.011525062540620117,2,1,-0.010416760858255443,1,-0.010416760858255443,1,-0.010416760858255443
SOL,2023-07-29,24,0.012805297025672959,5.364946981713509e-9,1,0,0.011220468044282561,2,1,0.012805297025672959,1,0.012805297025672959,1,0.012805297025672959
SOL,2023-07-30,24,-0.03602899302984419,5.031559812209701e-9,1,0,0.01064645511521109,2,1,-0.03602899302984419,1,-0.03602899302984419,1,-0.03602899302984419
SOL,2023-07-31,24,-0.022932003438589886,5.007513363353798e-9,1,0,0.01061682632597631,2,1,-0.022932003438589886,1,-0.022932003438589886,1,-0.022932003438589886
SOL,2023-08-01,24,0.014238096474456289,4.950199938455519e-9,1,0,0.010558871876053708,2,1,0.014238096474456289,1,0.014238096474456289,1,0.014238096474456289
SOL,2023-08-02,24,-0.03857227478624015,4.894635795321083e-9,1,0,0.010523658744190189,2,1,-0.03857227478624015,1,-0.03857227478624015,1,-0.03857227478624015
SOL,2023-08-03,24,-0.02317043547565189,4.868162577619387e-9,1,0,0.010509696674012442,2,1,-0.02317043547565189,1,-0.02317043547565189,1,-0.02317043547565189
SOL,2023-08-04,24,0.007051593785769449,4.8261447936235446e-9,1,0,0.010471167689410065,2,1,0.007051593785769449,1,0.007051593785769449,1,0.007051593785769449
SOL,2023-08-05,24,-0.00572562674066606,4.712666166456814e-9,1,0,0.010053839362508778,1,1,-0.00572562674066606,1,-0.00572562674066606,1,-0.00572562674066606
SOL,2023-08-06,24,0.02357158457662319,4.728077961792764e-9,1,0,0.009760042817915359,1,1,0.02357158457662319,1,0.02357158457662319,1,0.02357158457662319
SOL,2023-08-07,24,-0.003024413625316247,4.745371249931967e-9,1,0,0.00969162441721661,1,1,-0.003024413625316247,1,-0.003024413625316247,1,-0.003024413625316247
SOL,2023-08-08,24,0.04691331383865677,4.755988307023658e-9,1,0,0.009718522355544998,1,1,0.04691331383865677,1,0.04691331383865677,1,0.04691331383865677
