"ym","spearman_rho","pair","date"
"1997-05",1,"A vs B",1997-05-15
"1997-06",1,"A vs B",1997-06-15
"1997-07",1,"A vs B",1997-07-15
"1997-08",1,"A vs B",1997-08-15
"1997-09",1,"A vs B",1997-09-15
"1997-10",1,"A vs B",1997-10-15
"1997-11",1,"A vs B",1997-11-15
"1998-01",1,"A vs B",1998-01-15
"1998-04",1,"A vs B",1998-04-15
"1998-05",1,"A vs B",1998-05-15
"1998-07",1,"A vs B",1998-07-15
"1998-08",1,"A vs B",1998-08-15
"1998-09",1,"A vs B",1998-09-15
"1998-10",1,"A vs B",1998-10-15
"1998-11",1,"A vs B",1998-11-15
"1999-01",1,"A vs B",1999-01-15
"1999-04",1,"A vs B",1999-04-15
"1999-05",1,"A vs B",1999-05-15
"1999-07",1,"A vs B",1999-07-15
"1999-08",1,"A vs B",1999-08-15
"1999-09",1,"A vs B",1999-09-15
"1999-10",1,"A vs B",1999-10-15
"1999-11",1,"A vs B",1999-11-15
"1999-12",1,"A vs B",1999-12-15
"2000-01",1,"A vs B",2000-01-15
"2000-04",1,"A vs B",2000-04-15
"2000-06",1,"A vs B",2000-06-15
"2000-07",1,"A vs B",2000-07-15
"2000-09",1,"A vs B",2000-09-15
"2000-11",1,"A vs B",2000-11-15
"2000-12",1,"A vs B",2000-12-15
"2001-02",1,"A vs B",2001-02-15
"2001-04",1,"A vs B",2001-04-15
"2001-06",1,"A vs B",2001-06-15
"2001-07",1,"A vs B",2001-07-15
"2001-08",1,"A vs B",2001-08-15
"2001-09",1,"A vs B",2001-09-15
"2001-11",1,"A vs B",2001-11-15
"2001-12",1,"A vs B",2001-12-15
"2002-02",1,"A vs B",2002-02-15
"2002-05",1,"A vs B",2002-05-15
"2002-06",1,"A vs B",2002-06-15
"2002-08",1,"A vs B",2002-08-15
"2002-09",1,"A vs B",2002-09-15
"2002-11",1,"A vs B",2002-11-15
